Country,ISO3,RW_Single_Count,RW_Single_Count_Cluster,RW_Collab_Count,RW_Collab_Count_Cluster,RW_Total_Count,RW_Total_Count_Cluster,WoS_Total_Publications,WoS_Total_Publications_Cluster,RR_Single_%,RR_Single_%_Cluster,RR_Collab_%,RR_Collab_%_Cluster,RR_Total_%,RR_Total_%_Cluster,Collaboration_Share_%,Collaboration_Share_%_Cluster,Total_Mean_RD_Years,Total_Mean_RD_Years_Cluster,Total_RD_?1_%,Total_RD_?1_%_Cluster,Total_RD_1_2_%,Total_RD_1_2_%_Cluster,Total_RD_2_3_%,Total_RD_2_3_%_Cluster,Total_RD_3_4_%,Total_RD_3_4_%_Cluster,Total_RD_4_5_%,Total_RD_4_5_%_Cluster,Total_RD_>5_%,Total_RD_>5_%_Cluster,Total_Slope13,Total_Slope13_Cluster,Single_Mean_RD_Years,Single_Mean_RD_Years_Cluster,Single_RD_?1_%,Single_RD_?1_%_Cluster,Single_RD_1_2_%,Single_RD_1_2_%_Cluster,Single_RD_2_3_%,Single_RD_2_3_%_Cluster,Single_RD_3_4_%,Single_RD_3_4_%_Cluster,Single_RD_4_5_%,Single_RD_4_5_%_Cluster,Single_RD_>5_%,Single_RD_>5_%_Cluster,Single_Slope13,Single_Slope13_Cluster,Collab_Mean_RD_Years,Collab_Mean_RD_Years_Cluster,Collab_RD_?1_%,Collab_RD_?1_%_Cluster,Collab_RD_1_2_%,Collab_RD_1_2_%_Cluster,Collab_RD_2_3_%,Collab_RD_2_3_%_Cluster,Collab_RD_3_4_%,Collab_RD_3_4_%_Cluster,Collab_RD_4_5_%,Collab_RD_4_5_%_Cluster,Collab_RD_>5_%,Collab_RD_>5_%_Cluster,Collab_Slope13,Collab_Slope13_Cluster,NRR_Total_RR,NRR_Total_RR_Cluster,NRR_Single_RR,NRR_Single_RR_Cluster,NRR_Collab_RR,NRR_Collab_RR_Cluster,NRD_Total,NRD_Total_Cluster,NRD_Single,NRD_Single_Cluster,NRD_Collab,NRD_Collab_Cluster,NRRDI_Total_RR,NRRDI_Total_RR_Cluster,NRRDI_Single_RR,NRRDI_Single_RR_Cluster,NRRDI_Collab_RR,NRRDI_Collab_RR_Cluster,NSlope13_Total,NSlope13_Total_Cluster,NSlope13_Single,NSlope13_Single_Cluster,NSlope13_Collab,NSlope13_Collab_Cluster,NRS13I_Total_RR,NRS13I_Total_RR_Cluster,NRS13I_Single_RR,NRS13I_Single_RR_Cluster,NRS13I_Collab_RR,NRS13I_Collab_RR_Cluster
China,CHN,32599,1.0,3433,1.0,36032,1.0,10226425,3.0,0.3187722,2.0,0.033569894,0.0,0.352342094,1.0,9.527642096,0.0,1.601177233,0.0,46.69738011,0.0,27.95293073,0.0,10.4767984,0.0,5.25366341,0.0,3.249888988,1.0,6.369338366,0.0,18.11029085,0.0,1.533864883,0.0,48.03214823,1.0,27.81987178,0.0,10.19356422,0.0,4.97254517,0.0,3.144268229,2.0,5.83760238,0.0,18.919292,0.0,2.240360251,0.0,34.02272065,0.0,29.21642878,0.0,13.16632683,1.0,7.92309933,2.0,4.252840082,0.0,11.41858433,0.0,10.42819691,0.0,0.240731957,1.0,0.0,2.0,0.926944257,0.0,0.922622639,0.0,0.94163626,0.0,0.71944646,0.0,0.581677298,0.0,0.47081813,0.0,0.823195359,0.0,0.643285214,0.0,0.476833697,0.0,0.469638879,0.0,0.442008586,0.0,0.238416848,0.0,0.698291568,0.0
Russia,RUS,2777,2.0,343,2.0,3120,3.0,1988242,2.0,0.139671127,0.0,0.017251421,0.0,0.156922548,2.0,10.99358974,0.0,2.5659199,0.0,24.1025641,0.0,23.46153846,0.0,11.34615385,0.0,18.3974359,1.0,16.28205128,0.0,6.41025641,0.0,6.378205128,0.0,2.586043517,0.0,23.51458408,1.0,22.68635218,0.0,10.73100468,0.0,19.51746489,2.0,17.824991,3.0,5.725603169,0.0,6.391789701,0.0,2.402994874,0.0,28.86297376,0.0,29.73760933,0.0,16.32653061,0.0,9.329446064,2.0,3.790087464,0.0,11.95335277,0.0,6.268221574,1.0,0.678797794,2.0,0.57037098,0.0,0.970127791,0.0,0.734212206,0.0,0.802718783,0.0,0.670376078,0.0,0.706505,0.0,0.686544881,0.0,0.820251935,0.0,0.118628845,0.0,0.124104023,0.0,0.318230767,0.0,0.39871332,0.0,0.347237501,0.0,0.644179279,0.0
Slovenia,SVN,12,0.0,8,0.0,20,0.0,134158,0.0,0.008944677,1.0,0.005963118,0.0,0.014907795,0.0,40.0,0.0,1.898151951,0.0,60.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,25.0,0.0,1.203741729,0.0,58.33333333,1.0,25.0,0.0,8.333333333,0.0,0.0,1.0,0.0,1.0,8.333333333,0.0,25.0,0.0,2.939767283,0.0,62.5,0.0,0.0,0.0,12.5,1.0,0.0,3.0,0.0,0.0,25.0,1.0,25.0,2.0,0.997147788,0.0,0.986686591,1.0,1.0,0.0,0.86462465,0.0,0.985221897,0.0,0.508420236,0.0,0.930886219,0.0,0.985954244,0.0,0.754210118,0.0,0.951391536,0.0,0.648044693,0.0,1.0,0.0,0.974269662,0.0,0.817365642,0.0,1.0,0.0
Japan,JPN,1370,4.0,469,2.0,1839,4.0,4268624,2.0,0.032094652,3.0,0.010987147,0.0,0.043081799,0.0,25.50299076,0.0,6.32540302,0.0,22.07721588,0.0,10.65796629,0.0,8.374116368,0.0,6.742794997,0.0,6.634040239,2.0,45.51386623,0.0,6.851549755,0.0,6.907569558,0.0,18.97810219,1.0,8.467153285,0.0,8.248175182,0.0,7.518248175,0.0,6.934306569,0.0,49.8540146,0.0,5.364963504,0.0,4.624831256,0.0,31.13006397,0.0,17.0575693,0.0,8.742004264,1.0,4.47761194,1.0,5.756929638,0.0,32.8358209,1.0,11.19402985,0.0,0.933991012,0.0,0.912962446,3.0,0.986704924,0.0,0.0,0.0,0.23215455,0.0,0.0,0.0,0.466995506,0.0,0.572558498,0.0,0.493352462,0.0,0.139796716,0.0,0.095192268,0.0,0.497512438,0.0,0.536893864,0.0,0.504077357,0.0,0.742108681,0.0
Bulgaria,BGR,9,0.0,9,0.0,18,0.0,132009,0.0,0.006817717,1.0,0.006817717,0.0,0.013635434,0.0,50.0,0.0,1.514031485,0.0,38.88888889,0.0,33.33333333,0.0,11.11111111,0.0,5.555555556,0.0,11.11111111,2.0,0.0,0.0,13.88888889,0.0,1.71754506,0.0,33.33333333,1.0,33.33333333,0.0,11.11111111,0.0,11.11111111,2.0,11.11111111,0.0,0.0,0.0,11.11111111,0.0,1.31051791,0.0,44.44444444,0.0,33.33333333,0.0,11.11111111,1.0,0.0,3.0,11.11111111,0.0,0.0,0.0,16.66666667,0.0,1.0,0.0,0.993460176,1.0,0.997738477,0.0,0.93964186,0.0,0.917385257,0.0,1.0,0.0,0.96982093,0.0,0.955422717,0.0,0.998869239,0.0,0.45450502,0.0,0.25698324,0.0,0.696696697,0.0,0.72725251,0.0,0.625221708,0.0,0.847217587,0.0
Iran,IRN,1343,4.0,674,2.0,2017,4.0,767421,0.0,0.175001727,0.0,0.08782663,2.0,0.262828356,1.0,33.4159643,0.0,3.238930419,0.0,30.34209222,0.0,20.87258304,0.0,12.64253842,0.0,8.477937531,0.0,5.156172533,1.0,22.50867625,0.0,8.849776896,0.0,3.684763901,0.0,32.31571109,1.0,17.05137751,0.0,9.605361132,0.0,7.892777364,0.0,4.318689501,2.0,28.8160834,0.0,11.35517498,0.0,2.350570826,0.0,26.40949555,0.0,28.48664688,0.0,18.69436202,0.0,9.643916914,2.0,6.824925816,0.0,9.940652819,0.0,3.857566766,1.0,0.441392081,1.0,0.457856027,0.0,0.783364789,2.0,0.60277591,0.0,0.657656472,0.0,0.686193547,0.0,0.522083996,0.0,0.557756249,0.0,0.734779168,0.0,0.229157007,0.0,0.263855206,0.0,0.230491619,0.0,0.335274544,0.0,0.360855616,0.0,0.506928204,0.0
Romania,ROU,126,0.0,77,0.0,203,0.0,342902,0.0,0.036745193,3.0,0.022455395,0.0,0.059200588,2.0,37.93103448,0.0,3.65056662,0.0,28.07881773,0.0,13.79310345,0.0,14.77832512,1.0,8.866995074,0.0,6.403940887,1.0,28.07881773,0.0,6.650246305,0.0,4.433232294,0.0,21.42857143,1.0,9.523809524,0.0,17.46031746,1.0,6.349206349,0.0,8.73015873,0.0,36.50793651,0.0,1.984126984,0.0,2.369840974,0.0,38.96103896,0.0,20.77922078,0.0,10.38961039,1.0,12.98701299,0.0,2.597402597,0.0,14.28571429,1.0,14.28571429,0.0,0.897858031,2.0,0.898152185,3.0,0.956356527,0.0,0.522384985,0.0,0.558837377,0.0,0.680379327,0.0,0.710121508,0.0,0.728494781,0.0,0.818367927,0.0,0.130794469,0.0,0.0,0.0,0.61003861,0.0,0.51432625,0.0,0.449076093,0.0,0.783197568,0.0
India,IND,3902,3.0,1937,1.0,5839,2.0,2575699,2.0,0.151492857,0.0,0.075202887,2.0,0.226695744,1.0,33.17348861,0.0,2.424478233,0.0,31.34098305,0.0,29.782497,0.0,16.25278301,1.0,5.6687789,0.0,5.257749615,1.0,11.69720843,0.0,7.544100017,0.0,2.533833191,0.0,36.622245,1.0,21.29677089,0.0,16.63249616,1.0,5.868785238,0.0,6.201947719,0.0,13.377755,0.0,9.994874423,0.0,2.204187555,0.0,20.70211668,0.0,46.87661332,0.0,15.48786784,0.0,5.265875065,1.0,3.355704698,0.0,8.311822406,0.0,2.607124419,1.0,0.52238942,1.0,0.532723121,0.0,0.816770969,2.0,0.761835205,0.0,0.809612029,0.0,0.730360545,0.0,0.642112313,0.0,0.671167575,0.0,0.773565757,0.0,0.170767416,0.0,0.225554006,0.0,0.184980024,0.0,0.346578418,0.0,0.379138564,0.0,0.500875497,0.0
Morocco,MAR,37,0.0,32,0.0,69,0.0,100482,0.0,0.036822515,3.0,0.0318465,0.0,0.068669015,2.0,46.37681159,0.0,1.204971778,0.0,62.31884058,0.0,20.28985507,0.0,10.14492754,0.0,4.347826087,0.0,1.449275362,1.0,1.449275362,0.0,26.08695652,0.0,1.091810496,0.0,72.97297297,0.0,16.21621622,0.0,5.405405405,3.0,0.0,1.0,2.702702703,2.0,2.702702703,0.0,33.78378378,0.0,1.335814511,0.0,50.0,0.0,25.0,0.0,15.625,0.0,9.375,2.0,0.0,0.0,0.0,0.0,17.1875,0.0,0.876632955,2.0,0.89790594,3.0,0.93150487,0.0,1.0,0.0,1.0,0.0,0.992367469,0.0,0.938316478,0.0,0.94895297,0.0,0.961936169,0.0,1.0,0.0,0.895364638,0.0,0.715653153,0.0,0.938316478,0.0,0.896635289,0.0,0.823579012,0.0
Brazil,BRA,287,4.0,190,0.0,477,4.0,1384521,2.0,0.020729191,1.0,0.013723158,0.0,0.034452349,0.0,39.83228512,0.0,3.502021102,0.0,31.86582809,0.0,17.8197065,0.0,12.15932914,0.0,6.918238994,0.0,6.918238994,2.0,24.31865828,0.0,9.853249476,0.0,3.539897975,0.0,36.93379791,1.0,14.63414634,0.0,8.362369338,0.0,6.968641115,0.0,7.665505226,0.0,25.43554007,0.0,14.28571429,0.0,3.44480709,0.0,24.21052632,0.0,22.63157895,0.0,17.89473684,0.0,6.842105263,1.0,5.789473684,0.0,22.63157895,1.0,3.157894737,1.0,0.953335379,0.0,0.949157254,1.0,0.979464626,0.0,0.551395338,0.0,0.676782891,0.0,0.356038806,0.0,0.752365359,0.0,0.812970072,0.0,0.667751716,0.0,0.274032087,0.0,0.346368715,0.0,0.205026079,0.0,0.613683733,0.0,0.647762984,0.0,0.592245352,0.0
Argentina,ARG,37,0.0,35,0.0,72,0.0,339633,0.0,0.010894112,1.0,0.010305241,0.0,0.021199353,0.0,48.61111111,0.0,3.992090653,0.0,36.11111111,0.0,15.27777778,0.0,12.5,0.0,5.555555556,0.0,6.944444444,2.0,23.61111111,0.0,11.80555556,0.0,3.656954696,0.0,32.43243243,1.0,18.91891892,0.0,5.405405405,3.0,10.81081081,2.0,10.81081081,0.0,21.62162162,0.0,13.51351351,0.0,4.346377237,0.0,40.0,0.0,11.42857143,0.0,20.0,0.0,0.0,3.0,2.857142857,0.0,25.71428571,1.0,10.0,0.0,0.9830442,0.0,0.980478358,1.0,0.98850945,0.0,0.455686691,0.0,0.661328077,0.0,0.084015598,0.0,0.719365445,0.0,0.820903218,0.0,0.536262524,0.0,0.361338798,0.0,0.324626302,0.0,0.454054054,0.0,0.672191499,0.0,0.65255233,0.0,0.721281752,0.0
Israel,ISR,87,0.0,72,0.0,159,0.0,719717,0.0,0.012088085,1.0,0.010003932,0.0,0.022092017,0.0,45.28301887,0.0,5.287719706,0.0,35.22012579,0.0,10.6918239,0.0,4.402515723,0.0,6.918238994,0.0,8.176100629,2.0,34.59119497,0.0,15.40880503,0.0,6.689513559,0.0,34.48275862,1.0,6.896551724,0.0,3.448275862,3.0,4.597701149,0.0,6.896551724,0.0,43.67816092,0.0,15.51724138,0.0,3.593885467,0.0,36.11111111,0.0,15.27777778,0.0,5.555555556,1.0,9.722222222,2.0,9.722222222,0.0,23.61111111,1.0,15.27777778,0.0,0.981043145,0.0,0.976675995,1.0,0.989306804,0.0,0.202655453,0.0,0.260944138,0.0,0.311058636,0.0,0.591849299,0.0,0.618810067,0.0,0.65018272,0.0,0.522475345,0.0,0.381044115,0.0,0.646146146,0.0,0.751759245,0.0,0.678860055,0.0,0.817726475,0.0
Croatia,HRV,26,0.0,27,0.0,53,0.0,139188,0.0,0.018679771,1.0,0.019398224,0.0,0.038077995,0.0,50.94339623,0.0,3.434866271,0.0,35.8490566,0.0,22.64150943,0.0,7.547169811,0.0,1.886792453,0.0,3.773584906,1.0,28.30188679,0.0,14.1509434,0.0,4.090243774,0.0,38.46153846,1.0,19.23076923,0.0,7.692307692,3.0,0.0,1.0,3.846153846,2.0,30.76923077,0.0,15.38461538,0.0,2.80376201,0.0,33.33333333,0.0,25.92592593,0.0,7.407407407,1.0,3.703703704,1.0,3.703703704,0.0,25.92592593,1.0,12.96296296,0.0,0.945207881,0.0,0.9556839,1.0,0.964446712,0.0,0.564510412,0.0,0.604121607,0.0,0.549455968,0.0,0.754859146,0.0,0.779902754,0.0,0.75695134,0.0,0.466224041,0.0,0.377309841,0.0,0.561895229,0.0,0.705715961,0.0,0.666496871,0.0,0.76317097,0.0
Indonesia,IDN,132,0.0,105,0.0,237,0.0,183922,0.0,0.071769554,3.0,0.057089418,2.0,0.128858973,2.0,44.30379747,0.0,1.441484215,0.0,56.96202532,0.0,19.83122363,0.0,11.39240506,0.0,4.641350211,0.0,3.797468354,1.0,3.375527426,0.0,22.78481013,0.0,1.094621783,0.0,71.96969697,0.0,14.39393939,0.0,6.060606061,3.0,2.272727273,0.0,3.787878788,2.0,1.515151515,0.0,32.95454545,0.0,1.877539846,0.0,38.0952381,0.0,26.66666667,0.0,18.0952381,0.0,7.619047619,2.0,3.80952381,0.0,5.714285714,0.0,10.0,0.0,0.741707025,2.0,0.786612487,3.0,0.864704596,2.0,0.953810055,0.0,0.99962883,0.0,0.828917222,0.0,0.84775854,0.0,0.893120659,0.0,0.846810909,0.0,0.852328718,0.0,0.872016252,0.0,0.454054054,0.0,0.797017872,0.0,0.82931437,0.0,0.659379325,0.0
Turkey,TUR,438,4.0,316,2.0,754,4.0,965312,0.0,0.045373931,3.0,0.03273553,0.0,0.078109461,2.0,41.90981432,0.0,2.056492682,0.0,35.94164456,0.0,29.70822281,0.0,15.1193634,1.0,6.763925729,0.0,3.846153846,1.0,8.620689655,0.0,10.41114058,0.0,2.17490991,0.0,43.83561644,1.0,22.60273973,0.0,13.01369863,0.0,5.02283105,0.0,3.196347032,2.0,12.32876712,0.0,15.4109589,0.0,1.892357411,0.0,25.0,0.0,39.55696203,0.0,18.03797468,0.0,9.17721519,2.0,4.746835443,0.0,3.481012658,0.0,3.481012658,1.0,0.855470606,2.0,0.87067283,3.0,0.929152232,0.0,0.83370133,0.0,0.857000101,0.0,0.824446442,0.0,0.844585968,0.0,0.863836466,0.0,0.876799337,0.0,0.298980858,0.0,0.37805158,0.0,0.216786407,0.0,0.577225732,0.0,0.624362205,0.0,0.572969319,0.0
Algeria,DZA,49,0.0,50,0.0,99,0.0,100351,0.0,0.048828612,3.0,0.049825114,2.0,0.098653725,2.0,50.50505051,0.0,1.984526995,0.0,43.43434343,0.0,24.24242424,0.0,12.12121212,0.0,6.060606061,0.0,3.03030303,1.0,11.11111111,0.0,15.65656566,0.0,1.829331322,0.0,51.02040816,1.0,20.40816327,0.0,12.24489796,0.0,2.040816327,0.0,2.040816327,2.0,12.24489796,0.0,19.3877551,0.0,2.136618754,0.0,36.0,0.0,28.0,0.0,12.0,1.0,10.0,2.0,4.0,0.0,10.0,0.0,12.0,0.0,0.809417176,2.0,0.859670944,3.0,0.883928108,2.0,0.847755945,0.0,0.902626294,0.0,0.750747513,0.0,0.82858656,0.0,0.881148619,0.0,0.81733781,0.0,0.533555147,0.0,0.490023943,0.0,0.526846847,0.0,0.671486162,0.0,0.674847443,0.0,0.705387477,0.0
United States,USA,4153,3.0,3018,1.0,7171,2.0,25205297,1.0,0.016476695,1.0,0.011973674,0.0,0.028450369,0.0,42.08618045,0.0,4.109581227,0.0,33.14739925,0.0,14.02872682,0.0,9.468693348,0.0,7.307209594,0.0,5.299121461,1.0,30.74884953,0.0,11.83935295,0.0,4.280341285,0.0,33.95136046,1.0,12.73777992,0.0,8.861064291,0.0,7.320009632,0.0,5.369612328,0.0,31.76017337,0.0,12.54514809,0.0,3.874602261,0.0,32.04108681,0.0,15.80516899,0.0,10.30483764,1.0,7.289595759,2.0,5.20212061,0.0,29.35719019,1.0,10.86812459,0.0,0.966789827,0.0,0.962699886,1.0,0.984094282,0.0,0.432741245,0.0,0.579023334,0.0,0.22636031,0.0,0.699765536,0.0,0.77086161,0.0,0.605227296,0.0,0.36285021,0.0,0.297360594,0.0,0.485650661,0.0,0.664820019,0.0,0.63003024,0.0,0.734872471,0.0
